id,name,state,district_id,party,phone,committee_assignments,website,created_at
375,"Smith, Jason",Missouri,08,R,(202) 225-4404,Joint Committee on Taxation|Ways and Means,https://jasonsmith.house.gov/,2025-03-13 10:18:20.136909
376,"Smucker, Lloyd",Pennsylvania,11,R,(202) 225-2411,Budget|Ways and Means,https://smucker.house.gov/,2025-03-13 10:18:20.137697
377,"Sorensen, Eric",Illinois,17,D,(202) 225-5905,Agriculture|Armed Services,https://sorensen.house.gov/,2025-03-13 10:18:20.13854
378,"Soto, Darren",Florida,09,D,(202) 225-9889,Energy and Commerce|Natural Resources,https://soto.house.gov/,2025-03-13 10:18:20.139389
379,"Spartz, Victoria",Indiana,05,R,(202) 225-2276,"",https://spartz.house.gov/,2025-03-13 10:18:20.140186
380,"Stansbury, Melanie",New Mexico,01,D,(202) 225-6316,Oversight and Government Reform|Natural Resources,https://stansbury.house.gov/,2025-03-13 10:18:20.141001
381,"Stanton, Greg",Arizona,04,D,(202) 225-9888,Foreign Affairs|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://stanton.house.gov/,2025-03-13 10:18:20.141817
382,"Stauber, Pete",Minnesota,08,R,(202) 225-6211,Natural Resources|Transportation and Infrastructure|Small Business,https://stauber.house.gov/,2025-03-13 10:18:20.142789
383,"Stefanik, Elise",New York,21,R,(202) 225-4611,Armed Services|Education and Workforce,https://stefanik.house.gov/,2025-03-13 10:18:20.143775
384,"Steil, Bryan",Wisconsin,01,R,(202) 225-3031,Financial Services|House Administration,https://steil.house.gov/,2025-03-13 10:18:20.144673
385,"Steube, W.",Florida,17,R,(202) 225-5792,Intelligence|Ways and Means,https://steube.house.gov/,2025-03-13 10:18:20.145532
386,"Stevens, Haley",Michigan,11,D,(202) 225-8171,"Education and Workforce|Science, Space, and Technology|Select Comm on the Strategic Competition US and China",https://stevens.house.gov/,2025-03-13 10:18:20.146456
387,"Strickland, Marilyn",Washington,10,D,(202) 225-9740,Armed Services|Transportation and Infrastructure,https://strickland.house.gov/,2025-03-13 10:18:20.147369
388,"Strong, Dale",Alabama,05,R,(202) 225-4801,Appropriations|Homeland Security,https://strong.house.gov/,2025-03-13 10:18:20.148254
389,"Stutzman, Marlin",Indiana,03,R,(202) 225-4436,Financial Services|Budget,https://stutzman.house.gov/,2025-03-13 10:18:20.149078
390,"Subramanyam, Suhas",Virginia,10,D,(202) 225-5136,"Oversight and Government Reform|Science, Space, and Technology",https://subramanyam.house.gov/,2025-03-13 10:18:20.149895
391,"Suozzi, Thomas R.",New York,03,D,(202) 225-3335,Ways and Means,https://suozzi.house.gov/,2025-03-13 10:18:20.150717
392,"Swalwell, Eric",California,14,D,(202) 225-5065,Homeland Security|Judiciary,https://swalwell.house.gov/,2025-03-13 10:18:20.151541
393,"Sykes, Emilia",Ohio,13,D,(202) 225-6265,"Transportation and Infrastructure|Science, Space, and Technology",https://sykes.house.gov/,2025-03-13 10:18:20.152327
394,"Takano, Mark",California,39,D,(202) 225-2305,Education and Workforce|Veterans' Affairs,https://takano.house.gov/,2025-03-13 10:18:20.153142
395,"Taylor, David",Ohio,02,R,(202) 225-3164,Agriculture|Transportation and Infrastructure,https://taylor.house.gov/,2025-03-13 10:18:20.153947
396,"Tenney, Claudia",New York,24,R,(202) 225-3665,"Intelligence|Science, Space, and Technology|Ways and Means",https://tenney.house.gov/,2025-03-13 10:18:20.154757
397,"Thanedar, Shri",Michigan,13,D,(202) 225-5802,Agriculture|Homeland Security,https://thanedar.house.gov/,2025-03-13 10:18:20.15557
398,"Thompson, Bennie",Mississippi,02,D,(202) 225-5876,Homeland Security,https://benniethompson.house.gov/,2025-03-13 10:18:20.15652
399,"Thompson, Glenn",Pennsylvania,15,R,(202) 225-5121,Agriculture|Education and Workforce,https://thompson.house.gov/,2025-03-13 10:18:20.15731
400,"Thompson, Mike",California,04,D,(202) 225-3311,Ways and Means,https://mikethompson.house.gov/,2025-03-13 10:18:20.158052
401,"Tiffany, Thomas",Wisconsin,07,R,(202) 225-3365,Natural Resources|Judiciary,https://tiffany.house.gov/,2025-03-13 10:18:20.158868
402,"Timmons, William",South Carolina,04,R,(202) 225-6030,Financial Services|Oversight and Government Reform,https://timmons.house.gov/,2025-03-13 10:18:20.159706
403,"Titus, Dina",Nevada,01,D,(202) 225-5965,Foreign Affairs|Transportation and Infrastructure,https://titus.house.gov/,2025-03-13 10:18:20.160547
404,"Tlaib, Rashida",Michigan,12,D,(202) 225-5126,Financial Services|Oversight and Government Reform,https://tlaib.house.gov/,2025-03-13 10:18:20.161361
405,"Tokuda, Jill",Hawaii,02,D,(202) 225-4906,Agriculture|Armed Services|Select Comm on the Strategic Competition US and China,https://tokuda.house.gov/,2025-03-13 10:18:20.162218
406,"Tonko, Paul",New York,20,D,(202) 225-5076,Budget|Energy and Commerce,https://tonko.house.gov/,2025-03-13 10:18:20.163455
407,"Torres, Norma",California,35,D,(202) 225-6161,Appropriations|House Administration,https://torres.house.gov/,2025-03-13 10:18:20.164351
408,"Torres, Ritchie",New York,15,D,(202) 225-4361,Financial Services|Select Comm on the Strategic Competition US and China,https://ritchietorres.house.gov/,2025-03-13 10:18:20.16532
409,"Trahan, Lori",Massachusetts,03,D,(202) 225-3411,Energy and Commerce,https://trahan.house.gov/,2025-03-13 10:18:20.166293
410,"Tran, Derek",California,45,D,(202) 225-2415,Armed Services|Small Business,https://tran.house.gov/,2025-03-13 10:18:20.167058
411,"Turner, Michael",Ohio,10,R,(202) 225-6465,Armed Services|Oversight and Government Reform,https://turner.house.gov/,2025-03-13 10:18:20.167823
412,"Turner, Sylvester",Texas,18,D,(202) 225-3816,"Homeland Security|Science, Space, and Technology",https://sylvesterturner.house.gov/,2025-03-13 10:18:20.168662
413,"Underwood, Lauren",Illinois,14,D,(202) 225-2976,Appropriations,https://underwood.house.gov/,2025-03-13 10:18:20.169448
414,"Valadao, David",California,22,R,(202) 225-4695,Appropriations,https://valadao.house.gov/,2025-03-13 10:18:20.170371
415,"Van Drew, Jefferson",New Jersey,02,R,(202) 225-6572,Judiciary|Transportation and Infrastructure,https://vandrew.house.gov/,2025-03-13 10:18:20.171113
416,"Van Duyne, Beth",Texas,24,R,(202) 225-6605,Small Business|Ways and Means,https://vanduyne.house.gov/,2025-03-13 10:18:20.171946
417,"Van Orden, Derrick",Wisconsin,03,R,(202) 225-5506,Agriculture|Armed Services|Veterans' Affairs,https://vanorden.house.gov/,2025-03-13 10:18:20.172703
418,"Vargas, Juan",California,52,D,(202) 225-8045,Financial Services,https://vargas.house.gov/,2025-03-13 10:18:20.173473
419,"Vasquez, Gabe",New Mexico,02,D,(202) 225-2365,Agriculture|Armed Services,https://vasquez.house.gov/,2025-03-13 10:18:20.174274
420,"Veasey, Marc",Texas,33,D,(202) 225-9897,Energy and Commerce,https://veasey.house.gov/,2025-03-13 10:18:20.175067
421,"Velazquez, Nydia",New York,07,D,(202) 225-2361,Financial Services|Natural Resources|Small Business,https://velazquez.house.gov/,2025-03-13 10:18:20.175971
422,"Vindman, Eugene",Virginia,07,D,(202) 225-2815,Agriculture|Armed Services,https://vindman.house.gov/,2025-03-13 10:18:20.176816
423,"Wagner, Ann",Missouri,02,R,(202) 225-1621,Financial Services|Intelligence,https://wagner.house.gov/,2025-03-13 10:18:20.177755
424,"Walberg, Tim",Michigan,05,R,(202) 225-6276,Education and Workforce|Natural Resources,https://walberg.house.gov/,2025-03-13 10:18:20.178578
425,"Waltz, Michael- Vacancy",Florida,06,O,(202) 225-2706,"",https://clerk.house.gov/members/FL06/vacancy,2025-03-13 10:18:20.179416
426,"Wasserman Schultz, Debbie",Florida,25,D,(202) 225-7931,Appropriations,https://wassermanschultz.house.gov/,2025-03-13 10:18:20.180349
427,"Waters, Maxine",California,43,D,(202) 225-2201,Financial Services,https://waters.house.gov/,2025-03-13 10:18:20.181187
428,"Watson Coleman, Bonnie",New Jersey,12,D,(202) 225-5801,Appropriations|Budget,https://watsoncoleman.house.gov/,2025-03-13 10:18:20.182011
429,"Weber, Randy",Texas,14,R,(202) 225-2831,"Energy and Commerce|Science, Space, and Technology",https://weber.house.gov/,2025-03-13 10:18:20.182935
430,"Webster, Daniel",Florida,11,R,(202) 225-1002,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://webster.house.gov/,2025-03-13 10:18:20.18378
431,"Westerman, Bruce",Arkansas,04,R,(202) 225-3772,Natural Resources|Transportation and Infrastructure,https://westerman.house.gov/,2025-03-13 10:18:20.184818
432,"Whitesides, George",California,27,D,(202) 225-1956,"Armed Services|Science, Space, and Technology",https://whitesides.house.gov/,2025-03-13 10:18:20.185613
433,"Wied, Tony",Wisconsin,08,R,(202) 225-5665,Agriculture|Transportation and Infrastructure|Small Business,https://wied.house.gov/,2025-03-13 10:18:20.186412
434,"Williams, Nikema",Georgia,05,D,(202) 225-3801,Financial Services,https://nikemawilliams.house.gov/,2025-03-13 10:18:20.187229
435,"Williams, Roger",Texas,25,R,(202) 225-9896,Financial Services|Small Business,https://williams.house.gov/,2025-03-13 10:18:20.188002
436,"Wilson, Frederica",Florida,24,D,(202) 225-4506,Education and Workforce|Transportation and Infrastructure,https://wilson.house.gov/,2025-03-13 10:18:20.188844
437,"Wilson, Joe",South Carolina,02,R,(202) 225-2452,Armed Services|Education and Workforce|Foreign Affairs,https://joewilson.house.gov/,2025-03-13 10:18:20.189638
438,"Wittman, Robert",Virginia,01,R,(202) 225-4261,Armed Services|Natural Resources|Select Comm on the Strategic Competition US and China,https://wittman.house.gov/,2025-03-13 10:18:20.190487
439,"Womack, Steve",Arkansas,03,R,(202) 225-4301,Appropriations,https://womack.house.gov/,2025-03-13 10:18:20.191281
440,"Yakym, Rudy",Indiana,02,R,(202) 225-3915,Ways and Means,https://yakym.house.gov/,2025-03-13 10:18:20.192058
441,"Zinke, Ryan",Montana,01,R,(202) 225-5628,Appropriations|Foreign Affairs,https://zinke.house.gov/,2025-03-13 10:18:20.192918
